codice spira;id_uni;Livello;tipologia;codice;codice arco;codice via;Nome via;Nodo da;Nodo a;ordinanza;stato;codimpsem;direzione;angolo;longitudine;latitudine;geopoint;ID_univoco_stazione_spira;sensor_key
2.82 2.18 2 1;636;1;spira;1008;4563;36250;VIA MARZABOTTO;8778;4568;4000/343434;A;25;S;149;11.309913896272;44.4992572264694;44.4992572264694, 11.309913896272;507;636_2.82 2.18 2 1
2.82 2.19 8 1;172;1;spira;563;2748;44650;VIA PASUBIO;4565;4701;4000/343434;A;24;E;248;11.316433339438;44.4989091324745;44.4989091324745, 11.316433339438;509;172_2.82 2.19 8 1
2.82 2.31 6 1;190;1;spira;582;4568;36250;VIA MARZABOTTO;8777;8776;4000/343434;A;300;N;335;11.3133096525433;44.5038846559691;44.5038846559691, 11.3133096525433;510;190_2.82 2.31 6 1
3.9 3.52 8 1;317;1;spira;157;4632;46000;VIALE PIETRO PIETRAMELLARA;16717;10230;4000/343434;A;144;NE;307;11.3388308573875;44.5052920964529;44.5052920964529, 11.3388308573875;680;317_3.9 3.52 8 1
3.13 3.10 7 1;826;2;spira;1162;9061;54580;VIA WILLIAM SHAKESPEARE;11135;16894;4000/343434;A;70;O;87;11.3581813414178;44.5505832428544;44.5505832428544, 11.3581813414178;528;826_3.13 3.10 7 1
3.16 0.127 2 1;224;1;spira;619;4878;17950;VIA DI CORTICELLA;10732;10745;4000/343434;A;257;S;151;11.3524029903275;44.5306422877477;44.5306422877477, 11.3524029903275;530;224_3.16 0.127 2 1
3.17 3.19 2 2;270;1;spira;923;4732;17950;VIA DI CORTICELLA;10666;10402;4000/343434;A;214;S;177;11.3476904684858;44.5166046277349;44.5166046277349, 11.3476904684858;533;270_3.17 3.19 2 2
3.18 3.17 2 1;1;1;spira;1009;4739;17950;VIA DI CORTICELLA;10697;10695;4000/343434;A;213;S;161;11.3485696635646;44.5233146014172;44.5233146014172, 11.3485696635646;537;1_3.18 3.17 2 1
3.20 3.20 2 1;443;1;spira;632;3217;22400;VIA FERRARESE;10395;10394;4000/343434;A;258;SO;150;11.348656071634;44.511434918033;44.511434918033, 11.348656071634;543;443_3.20 3.20 2 1
3.20 3.20 4 1;357;1;spira;105;3261;37250;VIA GIUSEPPE MAZZA;10395;10350;4000/343434;A;258;O;80;11.3478285486105;44.5118433038728;44.5118433038728, 11.3478285486105;544;357_3.20 3.20 4 1
3.22 3.20 7 1;372;1;spira;122;3264;22400;VIA FERRARESE;10397;10348;4000/343434;A;305;O;256;11.3499093814091;44.5114364880796;44.5114364880796, 11.3499093814091;555;372_3.22 3.20 7 1
3.32 3.33 2 1;328;1;spira;168;6998;55950;VIA STALINGRADO;10596;14552;4000/343434;A;141;S;162;11.3553386803718;44.507538306608;44.507538306608, 11.3553386803718;587;328_3.32 3.33 2 1
3.36 0.127 8 1;467;1;spira;661;4770;46430;VIA LUIGI PIRANDELLO;10873;10864;4000/343434;A;114;SE;254;11.3866283773308;44.5123827026118;44.5123827026118, 11.3866283773308;597;467_3.36 0.127 8 1
3.37 3.37 6 1;680;1;spira;1055;3978;20500;VIA S.DONATO;10869;10878;4000/343434;A;111;NE;305;11.3826024496914;44.51043286397;44.51043286397, 11.3826024496914;601;680_3.37 3.37 6 1
